Index,YearMonth,Close_last,Stock_monthly_pct,GPRD_mean,GPRD_ACT_mean,GPRD_THREAT_mean,GPRD_monthly_pct,GPRD_ACT_monthly_pct,GPRD_THREAT_monthly_pct,gpr_lag1,stock_lag1,gpr_lag2,stock_lag2,gpr_lag3,stock_lag3,stock_vol6,gprd_zscore,gpr_spike,stock_down,gpr_up_next,cluster
N225,2018-07,22553.7207,1.117311846661595,109.5580127469955,85.10936841657085,127.5609563396823,5.999256123072527,51.3148311120806,-6.785183090650127,-15.333763880707776,0.46252720977904,0.0402988402496085,-1.1841302276696442,11.699680256456425,4.724313182673656,3.2267476785504865,0.1464502464115924,0,0,1,2
N225,2018-08,22865.15039,1.380835092100785,113.0449313502158,67.86267332876882,146.81783097790134,3.182714359079064,-20.264155883976787,15.096213755986486,5.999256123072527,1.117311846661595,-15.333763880707776,0.46252720977904,0.0402988402496085,-1.1841302276696442,2.5504860004178047,0.2160646941031607,0,0,0,2
N225,2018-09,24120.03906,5.488215247203554,73.96346220970153,49.602893877029416,88.1794579188029,-34.571624462700555,-26.906955703436157,-39.93954458292232,3.182714359079064,1.380835092100785,5.999256123072527,1.117311846661595,-15.333763880707776,0.46252720977904,2.5789346433171687,-0.5641757412999974,0,0,1,2
N225,2018-10,21920.46094,-9.119297504155854,92.58265267649004,61.918164991563366,115.57533417978594,25.17349771161239,24.8277270779095,31.06832011397669,-34.571624462700555,5.488215247203554,3.182714359079064,1.380835092100785,5.999256123072527,1.117311846661595,4.847268549587007,-0.1924536541791385,0,1,0,2
N225,2018-11,22351.06055,1.964372971803008,79.83305384318034,48.951593685150144,103.46333103179931,-13.771045076727717,-20.94146573655724,-10.479747459908284,25.17349771161239,-9.119297504155854,-34.571624462700555,5.488215247203554,3.182714359079064,1.380835092100785,4.903688814842605,-0.446992512714646,0,0,1,2
N225,2018-12,20014.76953,-10.452707668048433,86.58019570381411,64.75931516770393,99.9929014944261,8.45156427798377,32.292557386848046,-3.3542603961847828,-13.771045076727717,1.964372971803008,25.17349771161239,-9.119297504155854,-34.571624462700555,5.488215247203554,6.544110393335242,-0.3122894675414957,0,1,1,2
N225,2019-01,20773.49023,3.790804080270616,87.5074286307058,54.891605531015706,113.59607076644896,1.0709526807535674,-15.237513879098808,13.60413496230144,8.45156427798377,-10.452707668048433,-13.771045076727717,1.964372971803008,25.17349771161239,-9.119297504155854,6.850278594523278,-0.2937777626719332,0,0,1,2
N225,2019-02,21385.16016,2.944473572941808,98.55523300170898,57.736959321158274,130.96962765284948,12.624990293825844,5.183586383777472,15.294153018831214,1.0709526807535674,3.790804080270616,8.45156427798377,-10.452707668048433,-13.771045076727717,1.964372971803008,6.9944060486188215,-0.0732143119559909,0,0,0,2
N225,2019-03,21205.81055,-0.8386638615663355,79.65598315577353,67.75160512616557,85.8987022830594,-19.17630273940678,17.345294803804002,-34.41326525662569,12.624990293825844,2.944473572941808,1.0709526807535674,3.790804080270616,8.45156427798377,-10.452707668048433,6.279568949799206,-0.450527633406826,0,1,0,2
N225,2019-04,22258.73047,4.9652425099119935,78.96416734059652,57.763711071014406,93.91384995778402,-0.8685045212788456,-14.741929783880291,9.330929876347316,-19.17630273940678,-0.8386638615663355,12.624990293825844,2.944473572941808,1.0709526807535674,3.790804080270616,5.667028058560588,-0.4643393627180184,0,0,1,2
N225,2019-05,20601.18945,-7.44670062038807,105.1034455453196,63.40447973435925,133.1031727944651,33.10270858929771,9.765246309071296,41.72901319059692,-0.8685045212788456,4.9652425099119935,-19.17630273940678,-0.8386638615663355,12.624990293825844,2.944473572941808,6.400859866930085,0.0575172167838708,0,1,0,2
N225,2019-06,21275.91992,3.275201519978244,103.3317710240682,51.50454092025757,138.8043354034424,-1.685648374379367,-18.768293445444108,4.283265747376963,33.10270858929771,-7.44670062038807,-0.8685045212788456,4.9652425099119935,-19.17630273940678,-0.8386638615663355,4.628547482699377,0.0221466913083878,0,0,0,2
N225,2019-07,21521.5293,1.1544007541084866,93.06078184804608,47.329337519984094,126.32542345600744,-9.939817225846037,-8.10647629446455,-8.990289756558633,-1.685648374379367,3.275201519978244,33.10270858929771,-7.44670062038807,-0.8685045212788456,4.9652425099119935,4.44523926841238,-0.1829080633608263,0,0,1,2
N225,2019-08,20704.36914,-3.79694281298123,106.01592488442698,74.11447860348609,125.86253258489792,13.921162899248628,56.59310374287909,-0.3664273259061712,-9.939817225846037,1.1544007541084866,-1.685648374379367,3.275201519978244,33.10270858929771,-7.44670062038807,4.606147169799902,0.0757343742372348,0,1,0,2
N225,2019-09,21755.83984,5.078496682946998,92.55197461446126,70.08315865198772,112.63771381378174,-12.699931906120154,-5.439314999523937,-10.507351552135392,13.921162899248628,-3.79694281298123,-9.939817225846037,1.1544007541084866,-1.685648374379367,3.275201519978244,5.111476912371841,-0.1930661251276743,0,0,1,2
