id,year,date_start,date_end,type_of_violence,number_of_sources,where_prec,event_clarity,date_prec,latitude,longitude,region,region_enc,country_id,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best,high,low,total_deaths,lethality_ratio,conflict_duration_days,active_year,pre_return,pre_volatility,event_return,post_return,post_volatility,market_reaction,volatility_change,n_indices_tracked,market_direction_5d,severity_class
407821,2017,2017-03-30,2017-03-30,1,1,4,1,1,35.233333,37.2,Middle East,4,652,0,1,0,0,1,1,1,1,1.0,0,True,0.0005809143205918,0.0063069585507636,-0.0019045475483446,0.0003195037523268,0.005545307819816,-0.000261410568265,-0.0007616507309475,14,1,0
363388,2013,2013-07-26,2013-07-26,1,1,2,1,1,36.17135,37.03907,Middle East,4,652,56,2,0,0,58,58,58,58,58.0,0,True,0.0002902642754352,0.008589129252204,-0.004573691051444,0.0020895213778346,0.0103376084335942,0.0017992571023993,0.0017484791813901,14,1,2
308025,2015,2015-04-05,2015-04-05,1,1,1,1,1,33.3581,36.2419,Middle East,4,652,2,2,0,0,4,4,4,4,4.0,0,True,0.000862008411294,0.0087031209397483,,0.0065033623035927,0.009161093215661,0.0056413538922986,0.0004579722759126,14,1,1
303938,1994,1994-04-27,1994-04-27,3,1,1,1,1,-2.19417,29.25972,Africa,0,517,0,0,2,0,2,2,2,2,2.0,0,True,-0.0010255521075037,0.0106359960891482,7.9388758477128e-06,-0.0035455613221489,0.0094581249781122,-0.0025200092146452,-0.001177871111036,7,0,1
246506,2017,2017-07-24,2017-07-24,1,1,2,1,1,48.746225,38.870126,Europe,3,369,0,2,0,0,2,2,2,2,2.0,0,True,0.0016013284220805,0.0066752527202523,0.0006656705321919,0.00061688871157,0.0050661176291278,-0.0009844397105104,-0.0016091350911244,14,1,1
312432,2013,2013-05-25,2013-05-25,1,2,1,1,1,33.61672,36.15572,Middle East,4,652,0,1,0,0,1,1,1,1,0.5,0,True,0.0003222970677631,0.0113377627160626,,-0.0008033315887265,0.0122122259540644,-0.0011256286564897,0.0008744632380017,14,0,0
51093,2011,2011-05-21,2011-05-21,1,-1,4,1,1,17.5,97.75,Asia,2,775,1,0,0,0,1,1,1,1,-1.0,0,True,-0.0010006759712029,0.0079663346475246,,-0.0022342481147362,0.0109872270777611,-0.0012335721435332,0.0030208924302365,13,0,0
271057,2014,2014-08-05,2014-08-06,3,2,1,1,2,34.8836,40.60273,Middle East,4,652,0,0,0,0,0,2,0,0,0.0,1,True,0.0010100831038163,0.0085925203194343,-0.0023066017433351,-0.0004362220414783,0.0088145026877589,-0.0014463051452947,0.0002219823683246,14,0,0
189876,2011,2011-02-15,2011-02-15,1,-1,1,1,1,44.413,41.9404,Europe,3,365,3,5,0,0,8,8,8,8,-8.0,0,True,0.0022883302004059,0.0103192104653336,-0.0001550265485301,-0.0020382137582973,0.0112910318607537,-0.0043265439587032,0.00097182139542,13,0,2
23490,1999,1999-03-16,1999-03-16,1,1,2,1,1,-6.133333,24.483333,Africa,0,490,80,0,0,0,80,80,80,80,80.0,0,True,0.0065275445263838,0.0139473644343211,0.0054230015445164,-0.0017452636552306,0.0169844658012081,-0.0082728081816144,0.0030371013668869,11,0,2
220854,2000,2000-08-19,2000-08-19,3,1,3,1,1,9.20545,-73.51988,Americas,1,100,0,0,6,0,6,6,6,6,6.0,0,True,0.0028547677573265,0.0129168179971257,,0.0009814866384514,0.0095592574026518,-0.001873281118875,-0.0033575605944739,12,1,2
347693,2014,2014-08-04,2014-08-04,1,1,3,1,1,31.296999,34.243439,Middle East,4,666,0,0,1,0,1,1,1,1,1.0,0,True,0.0003409646850605,0.0083329572545807,0.004422086360208,-0.0007168382541735,0.0091473112499883,-0.001057802939234,0.0008143539954075,14,0,0
344869,2020,2020-05-28,2020-06-02,3,2,1,1,2,-11.93194,40.11028,Africa,0,541,0,0,6,0,6,6,6,6,3.0,5,True,0.0024742003225996,0.0154039075308662,0.006181268699373,0.0085038903366759,0.0128949330993892,0.0060296900140763,-0.002508974431477,14,1,2
261761,2018,2018-01-20,2018-01-21,1,1,4,2,2,34.5,62.0,Asia,2,700,0,4,0,0,4,4,4,4,4.0,1,True,0.001700312700708,0.0047581798198528,,0.0020710114222392,0.0066497091078918,0.0003706987215311,0.0018915292880389,14,1,1
358870,2013,2013-06-02,2013-06-02,1,1,2,1,1,32.52013,36.48256,Middle East,4,652,0,1,0,0,1,1,1,1,1.0,0,True,-0.0014438858305303,0.0126255060337263,,-0.0051129226016194,0.0115822545767419,-0.003669036771089,-0.0010432514569843,14,0,0
202647,1991,1991-06-28,1991-06-28,1,-1,1,1,1,46.681667,15.648056,Europe,3,345,0,0,0,5,5,5,5,5,-5.0,0,True,-0.0019023782041632,0.0079976687943134,-0.0064007794966081,0.0023531861953202,0.01084150607116,0.0042555643994834,0.0028438372768466,7,1,2
216796,2016,2016-03-24,2016-03-27,1,1,2,2,2,35.776217,43.579738,Middle East,4,645,0,0,7,0,7,7,7,7,7.0,3,True,0.0024424609206323,0.0103988862385543,-0.0087865490759803,0.0008787938561018,0.0101717795466901,-0.0015636670645305,-0.0002271066918641,14,1,2
135492,2005,2005-06-09,2005-06-09,1,-1,2,1,1,32.1602,65.89529,Asia,2,700,0,2,0,0,2,2,2,2,-2.0,0,True,0.0025426182864714,0.0137344545265214,0.0030232882556521,0.000439056889567,0.0078757942682946,-0.0021035613969044,-0.0058586602582268,12,1,1
50568,1991,1991-03-25,1991-03-25,2,1,5,1,1,14.708333,98.331111,Asia,2,800,0,0,2,0,2,2,2,2,2.0,0,True,-0.00194939484458,0.009284139183871,0.0032033189210661,0.0025321096242882,0.009215443062996,0.0044815044688682,-6.869612087498367e-05,7,1,1
249758,2017,2017-10-17,2017-10-17,2,1,2,1,1,14.36468,22.46172,Africa,0,625,11,16,0,0,27,27,27,27,27.0,0,True,0.0024474074856567,0.0045715883332062,-0.0004029877046461,0.0003549914596158,0.0046496753872412,-0.0020924160260408,7.808705403500923e-05,14,1,2
298308,2012,2012-07-03,2012-07-03,1,3,4,1,1,36.25,37.616667,Middle East,4,652,4,0,0,0,4,5,4,4,1.3333333333333333,0,True,0.0011343080975928,0.0120263108399282,0.0094141284988671,-0.003434827101224,0.0083692359978432,-0.0045691351988169,-0.003657074842085,14,0,1
418464,1993,1993-10-21,1993-10-31,3,1,4,2,4,-3.125,30.133333,Africa,0,516,0,0,1,0,1,1,1,1,1.0,10,True,0.0028733011013071,0.0091848443845843,0.0018710880040366,0.0005258078383365,0.0081552044870913,-0.0023474932629705,-0.0010296398974929,7,1,0
374257,2020,2020-12-12,2020-12-12,1,2,2,1,1,4.497619,44.001342,Africa,0,520,0,0,0,0,0,10,0,0,0.0,0,True,0.0007575768235675,0.0078893411892145,,0.0020271273598291,0.0069341607334277,0.0012695505362615,-0.0009551804557868,14,1,0
317133,2013,2013-07-09,2013-07-09,3,2,1,1,1,36.201241,37.161173,Middle East,4,652,0,0,1,0,1,1,0,1,0.5,0,True,0.0034173179694563,0.0125439044687416,0.0075255835101729,0.0047889254533265,0.0113915851495806,0.0013716074838701,-0.0011523193191609,14,1,0
458020,2019,2019-06-28,2019-06-28,3,1,1,1,1,-12.53028,-38.29917,Americas,1,140,0,0,1,0,1,1,1,1,1.0,0,False,0.0013863401628133,0.0076269727811498,0.0009044028131053,0.0014616554051163,0.0084223159719183,7.531524230298286e-05,0.0007953431907685,14,1,0
55526,2002,2002-05-23,2002-05-23,1,-1,2,1,1,33.857816,73.760426,Asia,2,770,0,0,3,0,3,3,3,3,-3.0,0,True,-0.0008920751545939,0.014367445881906,1.7682561074168952e-06,-0.0037663770890797,0.0099821794448555,-0.0028743019344857,-0.0043852664370505,12,0,1
239676,2017,2017-05-31,2017-05-31,3,1,1,1,1,11.018242,12.895914,Africa,0,475,0,0,7,0,7,7,7,7,7.0,0,True,7.243382028257234e-05,0.0062343314410815,-0.0013373873321927,0.0009608639815889,0.0067037892343314,0.0008884301613064,0.0004694577932498,14,1,2
411101,2017,2017-02-13,2017-02-13,1,1,3,1,1,34.42401,38.6458,Middle East,4,652,0,2,0,0,2,2,2,2,2.0,0,True,0.0010851455309672,0.0062295951922493,0.0049880725544237,0.00114275770379,0.0051247706021926,5.761217282281277e-05,-0.0011048245900567,14,1,1
127094,2007,2007-10-29,2007-10-31,1,-1,3,2,2,31.756763,65.647486,Asia,2,700,4,50,0,0,54,54,54,54,-54.0,2,True,-0.0005289372761947,0.0161401087082645,0.0158894179369828,-0.0058921173103856,0.0144284120667286,-0.0053631800341908,-0.0017116966415359,13,0,2
382260,2013,2013-11-27,2013-11-27,1,1,2,1,1,34.756944,36.294444,Middle East,4,652,0,0,1,0,1,1,1,1,1.0,0,True,0.0013164710663146,0.0092228588108237,0.0043761616539261,-0.0009142119423286,0.0083498632578279,-0.0022306830086432,-0.0008729955529958,14,0,0
364500,2013,2013-07-31,2013-08-02,1,1,1,1,2,33.46,36.19,Middle East,4,652,0,0,1,0,1,1,1,1,1.0,2,True,-0.0005763779853784,0.0094304012038105,-0.0007853598522385,0.0005004150591699,0.0113246791874402,0.0010767930445483,0.0018942779836297,14,1,0
76801,2007,2007-12-01,2007-12-01,1,-1,2,1,1,8.7993,80.2712,Asia,2,780,0,20,0,0,20,20,20,20,-20.0,0,True,7.218296606205867e-05,0.0183106355227221,,0.0042057754453884,0.0100660087954071,0.0041335924793264,-0.0082446267273149,13,1,2
95054,1998,1998-11-27,1998-11-27,1,-1,3,1,1,26.633333,93.833333,Asia,2,750,0,1,0,0,1,1,1,1,-1.0,0,True,0.0058147971663414,0.0147105972895365,-0.0001638153790315,-0.005013161679267,0.0172555439665109,-0.0108279588456084,0.0025449466769743,11,0,0
393223,2014,2014-12-23,2014-12-23,3,1,1,1,1,32.889767,36.483028,Middle East,4,652,0,0,1,0,1,1,1,1,1.0,0,True,-0.0003767212416004,0.0151593698691915,-0.0009929466672806,0.0001021346719452,0.0120198988082847,0.0004788559135456,-0.0031394710609067,14,1,0
298372,2012,2012-07-06,2012-07-06,1,2,1,1,1,32.61889,36.10213,Middle East,4,652,0,0,1,0,1,1,1,1,0.5,0,True,0.0009494769000086,0.0119474120618738,-0.0038711021291575,-0.0022749346594426,0.0097722854246681,-0.0032244115594512,-0.0021751266372057,14,0,0
161791,1991,1991-08-23,1991-08-23,1,-1,1,1,1,41.240268,42.361093,Middle East,4,640,1,0,0,0,1,1,1,1,-1.0,0,True,-0.0002248059278004,0.0241995875841442,0.0012519675284059,0.001006155880795,0.0068636882618535,0.0012309618085954,-0.0173358993222906,7,1,0
384411,2013,2013-12-28,2013-12-28,1,1,2,1,1,34.95629,40.54139,Middle East,4,652,0,5,0,0,5,5,5,5,5.0,0,True,0.0021842839454931,0.0083975341249909,,-0.0022162689217737,0.0087862091921621,-0.0044005528672669,0.0003886750671712,14,0,2
404660,1993,1993-04-15,1993-04-15,1,2,1,1,1,43.666944,18.976389,Europe,3,346,0,2,1,0,3,3,3,3,1.5,0,True,0.0019463574503316,0.0117540640286653,-0.0013572889175501,-0.0016419905070315,0.0066150407095634,-0.0035883479573632,-0.0051390233191019,7,0,1
