min_samples,eps_percentile,eps,n_clusters,noise_share_pct,largest_cluster_share_pct,conflict_variable,anomaly_rate_non_conflict,anomaly_rate_conflict,difference_conflict_minus_non_conflict,corrected_odds_ratio,p_value_chi2,p_value_fisher,test_valid
20,90,0.7640142541643095,1,6.074723917465853,93.92527608253415,is_high_intensity_conflict_day,0.06046599097315702,0.06387665198237885,0.003410661009221834,1.061025511519065,0.20042165333579004,0.19117737415333924,True
20,90,0.7640142541643095,1,6.074723917465853,93.92527608253415,is_conflict_window_3d,0.010529045643153528,0.07140655275673771,0.06087750711358418,7.209421295690435,2.0190248289578398e-226,1.58937376e-316,True
20,90,0.7640142541643095,1,6.074723917465853,93.92527608253415,is_high_intensity_conflict_window_3d,0.06249780349800265,0.05470928118307811,-0.007788522314924544,0.8683928335590874,6.752802843271778e-06,5.361836721935929e-06,True
20,92,0.8421302863979087,1,4.720648067422261,95.27935193257774,is_conflict_day,0.009420777472954087,0.055246549844150984,0.04582577237119689,6.132672416649799,1.534177208707769e-163,9.091335345094466e-225,True
20,92,0.8421302863979087,1,4.720648067422261,95.27935193257774,is_high_intensity_conflict_day,0.0469455222107847,0.05011013215859031,0.0031646099478056106,1.0719736951132484,0.18149563116670314,0.17107118737299637,True
20,92,0.8421302863979087,1,4.720648067422261,95.27935193257774,is_conflict_window_3d,0.009128630705394191,0.055288884974458344,0.04616025426906415,6.335348050095166,1.1996251979139423e-165,1.1967311130905492e-228,True
20,92,0.8421302863979087,1,4.720648067422261,95.27935193257774,is_high_intensity_conflict_window_3d,0.04880334571184237,0.04169865449109055,-0.007104691220751816,0.8483839090045102,3.7781225908329306e-06,2.83126123047697e-06,True
20,95,1.0276686024298702,1,2.815315315315315,97.18468468468468,is_conflict_day,0.006625601739220457,0.03273380106395868,0.02610819932473822,5.055065710644808,4.2981078634708564e-88,2.1982800038263333e-118,True
20,95,1.0276686024298702,1,2.815315315315315,97.18468468468468,is_high_intensity_conflict_day,0.027931744397814554,0.030616740088105728,0.002684995690291174,1.1008879985932816,0.14747703302400614,0.14493594896897627,True
20,95,1.0276686024298702,1,2.815315315315315,97.18468468468468,is_conflict_window_3d,0.006483402489626556,0.032752774352651046,0.02626937186302449,5.169289798663242,5.054808556080655e-89,4.035681795865929e-120,True
20,95,1.0276686024298702,1,2.815315315315315,97.18468468468468,is_high_intensity_conflict_window_3d,0.029075829106287268,0.02497070588710655,-0.004105123219180717,0.8557043326658551,0.0006359147550248115,0.0005192536220450625,True
20,97,1.2724245318022385,1,1.5929235687300203,98.40707643126999,is_conflict_day,0.005072726331590662,0.018239291575341713,0.013166565243751052,3.6264528579370685,5.0749679007931546e-40,5.077295341259282e-51,True
