Index,Date,Open,High,Low,Close,Adj Close,Volume,price_for_return,return_1d,abs_return_1d,volatility_20,return_z_20,intraday_range,open_close_return,volume_z_20,conflict_count,total_deaths_sum,total_deaths_max,total_deaths_mean,log_deaths_sum,death_uncertainty_sum,conflict_duration_mean,is_conflict_day,is_high_intensity_conflict_day,is_conflict_window_3d,is_high_intensity_conflict_window_3d,dbscan_cluster,is_market_anomaly
399001.SZ,2015-07-31,12228.41016,12580.95996,12213.45996,12374.25,12374.11133,1273700.0,12374.11133,-0.0017481689586931193,0.0017481689586931193,0.03699468839146427,-0.07907383946142187,0.029698769622401356,0.011926312422611817,-1.434289601119113,57.0,234.0,27.0,4.105263157894737,76.3293502492474,31.0,0.08771929824561403,1,0,1,0,-1,1
399001.SZ,2015-08-03,12178.57031,12305.61035,11909.00977,12161.58008,12161.44336,1371600.0,12161.44336,-0.017186524698901362,0.017186524698901362,0.03707227939793086,-0.49092288500620185,0.03261094178479482,-0.0013950923275491958,-1.1003212762225651,209.0,793.0,58.0,3.7942583732057416,252.3930181553975,257.0,1.813397129186603,1,1,1,1,-1,1
399001.SZ,2015-08-04,12163.12012,12711.55957,12105.94043,12711.55957,12711.41699,1404700.0,12711.41699,0.045222726753709974,0.045222726753709974,0.03558112218542715,1.0974756426683452,0.04764318152033008,0.04509035877218648,-0.9240860782881699,77.0,306.0,29.0,3.9740259740259742,95.3817480807853,8.0,0.42857142857142855,1,0,1,1,-1,1
399001.SZ,2015-08-05,12694.57031,12842.30957,12447.04004,12524.69043,12524.55078,1371100.0,12524.55078,-0.01470065926930153,0.01470065926930153,0.034952650314235834,-0.6182680868186317,0.03155922553209162,-0.013382089810962542,-0.9306527016989945,53.0,265.0,61.0,5.0,67.15625405044358,33.0,0.1509433962264151,1,0,1,1,-1,1
399001.SZ,2015-08-06,12274.71973,12595.12012,12231.88965,12421.84961,12421.71094,999900.0,12421.71094,-0.0082110601654648,0.0082110601654648,0.03406183735927129,-0.3694456351566184,0.029241254837571683,0.011986414617712708,-1.907437871506857,42.0,96.0,23.0,2.2857142857142856,38.35442212754044,52.0,0.0,1,0,1,0,-1,1
399001.SZ,2015-08-07,12543.66016,12769.12988,12522.46973,12753.04981,12752.90723,1250200.0,12752.90723,0.026662694986202995,0.026662694986202995,0.03308807369369447,0.7026516778769241,0.01934126767125045,0.01669286694068097,-1.2679354921238475,44.0,139.0,28.0,3.159090909090909,50.03355750557662,103.0,0.20454545454545456,1,0,1,0,-1,1
399001.SZ,2015-08-10,12877.30957,13373.29981,12821.88965,13302.95996,13302.81055,1710800.0,13302.81055,0.04311984005548197,0.04311984005548197,0.03276919426116555,1.2189184848714758,0.0414501856472551,0.03305429505178858,0.07227585480581315,166.0,1091.0,56.0,6.572289156626506,242.5766277226018,42.0,0.3674698795180723,1,1,1,1,-1,1
399001.SZ,2015-08-18,13608.51953,13652.54004,12634.9502,12683.86035,12683.71875,2080300.0,12683.71875,-0.06556989983322992,0.06556989983322992,0.03241011113985313,-1.9638786096425764,0.0802271399968544,-0.06212519020591047,1.2735661997010568,39.0,229.0,93.0,5.871794871794871,46.62854499627709,217.0,0.05128205128205128,1,0,1,1,-1,1
399001.SZ,2015-08-19,12328.59961,13028.5,12049.91992,12960.66016,12960.51465,1728200.0,12960.51465,0.021822929493765297,0.021822929493765297,0.03278411911696631,0.7025151893167582,0.07550387618526985,0.051267830085691316,0.2423418281524008,50.0,203.0,25.0,4.06,64.23227580981786,31.0,0.02,1,0,1,1,-1,1
399001.SZ,2015-08-20,12864.83984,13040.36035,12582.24023,12584.58008,12584.43848,1493100.0,12584.43848,-0.02901707070714188,0.02901707070714188,0.03272740074046063,-0.7668864145125714,0.03640329014458474,-0.021784939687208793,-0.39089090546168037,45.0,253.0,80.0,5.622222222222222,58.053047754453644,60.0,0.044444444444444446,1,0,1,0,-1,1
399001.SZ,2015-08-21,12355.26953,12511.41992,11891.83984,11902.04981,11901.91602,1444400.0,11901.91602,-0.054235432203408096,0.054235432203408096,0.03451795783052034,-1.4039860009457181,0.05205658604112326,-0.036682301337055426,-0.4659714547524457,63.0,227.0,50.0,3.6031746031746033,72.14903121877843,78.0,0.015873015873015872,1,0,1,0,-1,1
399001.SZ,2015-08-24,11399.66016,11446.09961,10964.08984,10970.29004,10970.16699,1163900.0,10970.16699,-0.07477158476717398,0.0782856330387719,0.03478079514409066,-2.081363594686544,0.043937741686180504,-0.0376651684325298,-1.3022006029862683,194.0,909.0,85.0,4.685567010309279,253.99387931670486,134.0,0.23195876288659795,1,1,1,1,-1,1
399001.SZ,2015-08-25,10212.46973,10529.91992,10168.41992,10197.94043,10197.82617,1348200.0,10197.82617,-0.07040374323417653,0.07040374323417653,0.03764090296356513,-1.6390382100187872,0.035448334149565136,-0.0014227018913279214,-0.594332954363777,60.0,229.0,24.0,3.816666666666667,78.2334233305722,7.0,0.016666666666666666,1,0,1,1,-1,1
399001.SZ,2015-08-26,10199.90039,10559.24023,9776.209961,9899.719727,9899.608398,1786100.0,9899.608398,-0.029243268813239687,0.029243268813239687,0.03599168572813401,-0.4728022878290119,0.07909620581120104,-0.029429764166549962,1.0655769679378317,45.0,183.0,40.0,4.066666666666666,54.12472308813417,51.0,0.044444444444444446,1,0,1,1,-1,1
399001.SZ,2015-08-27,10076.08984,10254.34961,9713.990234,10254.34961,10254.23535,1510400.0,10254.23535,0.035822321221478326,0.035822321221478326,0.03716093067947279,1.1999691051010872,0.05269562639770369,0.01769136369669355,0.021723665458909545,44.0,218.0,64.0,4.954545454545454,56.64988958728174,29.0,0.11363636363636363,1,0,1,0,-1,1
399001.SZ,2015-08-28,10397.96973,10826.19043,10311.37012,10800.0,10799.87891,1780400.0,10799.87891,0.05321153078469165,0.05321153078469165,0.039655820228801146,1.4936822127611633,0.047668547222222316,0.038664304709415544,0.9612820671951176,38.0,420.0,226.0,11.052631578947368,58.46253421529813,313.0,0.10526315789473684,1,0,1,0,-1,1
399001.SZ,2015-08-31,10706.23047,10706.23047,10398.33008,10549.16016,10549.04199,1504600.0,10549.04199,-0.023225901150404682,0.023225901150404682,0.03976814743531379,-0.425020296250901,0.029187194556727702,-0.014670925536315394,-0.12470616893359696,179.0,959.0,75.0,5.35754189944134,243.78517094102844,90.0,0.09497206703910614,1,1,1,1,-1,1
399001.SZ,2015-09-01,10388.5,10388.5,9954.580078,10162.51953,10162.40527,1500700.0,10162.40527,-0.03665135851829138,0.03665135851829138,0.0383722632615232,-0.6836715032886448,0.04269806525036013,-0.02175294508350584,-0.15950419938399374,63.0,539.0,43.0,8.555555555555555,104.07733841037401,92.0,6.031746031746032,1,0,1,1,-1,1
399001.SZ,2015-09-02,9694.480469,10319.49023,9682.709961,10054.79981,10054.68652,1548300.0,10054.68652,-0.010599729801958557,0.010599729801958557,0.03835912482767978,-0.010100352064027176,0.06333097436377493,0.03716747299168759,-0.008341746272921545,60.0,366.0,70.0,6.1,86.87321315492431,57.0,0.06666666666666667,1,0,1,1,-1,1
